페이지,학과/구분,학년,이수구분,교과번호,교과목명,분반,학점,강의,실습,담당교수,수업시간,강의실,비고
53,영어영문학과,1,,022002,기초영어회화 ***영문학개론 스크린영어 시사영어 영어학개론,""" ! #$ 01 02",3 3 3 3 3 3,,,D 백승봉,"수11:30-13:00, 금11:30-13:00 목1 :00-1 :30 월13:30-1 :00, 수1 :30-17:00 수13:30-1 :00 금13:30-1 :00 목1 :30-17:00",인202 - 영어회화실-1 인301 - 영문A/V강의실 인201 - 스마트강의실 인212 - 영문A/V강의실 인213 - 영문A/V강의실,"영문과1학년우선 신청,정정기간제 영문과1학년(홀수 ).자율전공학부만 한해제 영문과 1학년만 신청 가능 가능 영문과2- 학년만 가능,셋째날10시 부터전체"
53,영어영문학과,2,,022603,영미아동문학 AI와영어교육 영미시의이해 실용영문법,,3 3 3 3,,,,목10:00-11:30 금10:00-11:30 목12:00-13:30,인301 - 영문A/V강의실 인212 - 영문A/V강의실 인212 - 영문A/V강의실 인301 - 영문A/V강의실,
53,영어영문학과,3,※ )음영처리 )교과목은 )마이크로전공 )교과목임,022071,미국명작특강 셰익스피어 영소설특강 캡스톤디자인(영어프레젠 테이션) 영어구문분석 현대영미시 미국캐릭터산업의이해,,3 3 3 3 3 3 3,,,Mark Burman,"수12:00-13:30 화13:30-1 :00 목1 :30-17:00 화11:30-13:00, 목11:30-13:00 수1 :00-1 :30 목10:00-11:30 화10:00-11:30",인213 - 영문A/V강의실 인301 - 영문A/V강의실 e-learning(온라인)2 인202-1 - 영어회화실-2 인301 - 영문A/V강의실 인212 - 영문A/V강의실 인213 - 영문A/V강의실,[원격수업]영문과 만신청가능
55,문예콘텐츠창작학과,1 2,,062023,***창의적문예콘텐츠의세 계(입문) 문화콘텐츠로읽는한국문 학 스토리텔링의기초 시쓰기와감성개발 소설쓰기의이해와기초 근대문제작가와서사전략 신화와문화적상상력 광고언어연구,""" ! #$",3 3 3 3 3 3 3 3,,,,목1 :30-17:00 목13:30-1 :00 목10:00-11:30 목10:00-11:30 수10:00-11:30 목13:30-1 :00,인313 - 문창A/V강의실 인313 - 문창A/V강의실 인313 - 문창A/V강의실 인313 - 문창A/V강의실 인310 - 문창A/V강의실 인310 - 문창A/V강의실 인310 - 문창A/V강의실 인310 - 문창A/V강의실,"문창1학년,자율전 공만 문창 1학년 우선 신청/정정기간 신청/정정기간 문창 1학년 우선 신청/정정기간 전체 전체 전체"
55,문예콘텐츠창작학과,1 2,,062039,소설창작세미나,,3,,,,,인310 - 문창A/V강의실,
55,문예콘텐츠창작학과,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,062602,시나리오창작연습심화 희곡창작연습 문학과상호텍스트성 웹과모바일콘텐츠의실제 아동문예창작연습 캡스톤디자인(포트폴리오 제작Ⅰ),,3 3 3 3 3 3,,,장혜련,목11:30-13:00 수10:00-11:30 목11:30-13:30,인313 - 문창A/V강의실 인313 - 문창A/V강의실 인302 - 문화콘텐츠A/V강의실 정보 202 정보실습실B 인313 - 문창A/V강의실 인310 - 문창A/V강의실,4학년만 신청 가능
59,시각디자인학과,1,,812210,***디자인론 컴퓨터그래픽Ⅰ 조형I 관찰과표현기법,""" ! #$",2 3 2 2,,0,시각강사1 박상희 시각강사,목13:30-16:30,예310 - 시각실습실 3 예1131- 시각컴퓨터실 1 예10 1-시각실습실2 예10 1-시각실습실2,시각디자인학과 우선 신청/3일차 시각디자인학과 우선 신청/3일차 제한 해제 시각디자인학과 우선 신청/3일차 시각디자인학과 우선 신청/3일차
59,시각디자인학과,1,,812606,디지털일러스트레이션,01 02,2 2,,,시각강사3 김현,,예312 - 시각실습실 예310 - 시각실습실 3,제한 해제 시각디자인학과 우선 신청/3일차 제한 해제 중국인 유학생 전용 분반/내국인 제한 해제
59,시각디자인학과,2,,812607,비주얼인포메이션디자인,01 02,2 2,,,윤여경,수13:30-16:30 월13:30-16:30,예312 - 시각실습실 예10 - 시각실습실1,시각디자인학과 우선 신청/3일차 제한 해제 중국인 유학생 전용 분반/내국인
59,시각디자인학과,2,,812608,AI프롬프트디자인Ⅰ,,2,,,시각강사,목09:30-12:30,예10 1-시각실습실2,수강 금지 시각디자인학과 우선 신청/3일차 제한 해제
59,시각디자인학과,2,,812603,디자인교과교육론,,3,,,,,예312 - 시각실습실,시각디자인학과 우선 신청/3일차 수강 금지
59,시각디자인학과,3,,812613,지역기반프로모션디자인 Ⅰ 웹인터페이스디자인Ⅰ 타이포그래피디자인Ⅰ 커뮤니케이션디자인I,,3 3 3 2,,,시각강사2 윤여경 시각강사1 이혜준,,예10 - 시각실습실1 예312 - 시각실습실 예1131- 시각컴퓨터실 1 예310 - 시각실습실 3,시각디자인학과 우선 신청/3일차 제한 해제 시각디자인학과 우선 신청/3일차 제한 해제 시각디자인학과 우선 신청/3일차 제한 해제 시각디자인학과 우선 신청/3일차 제한 해제
59,시각디자인학과,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,812213,에디토리얼디자인Ⅰ 시각디자인Ⅰ 취창업세미나(시각디자인) 디자인교과교재연구및지 도법 패키지디자인I,01 02 01 02 03 01,3 3 3 3 3 3 3 3,,,시각강사1 시각강사3 시각강사 이혜준 시각강사2,화09:30-13:30 화13:30-17:30,예1131- 시각컴퓨터실 1 예312 - 시각실습실 예10 1-시각실습실2 예310 - 시각실습실 3 예10 - 시각실습실1 예312 - 시각실습실 예310 - 시각실습실 3,시각디자인학과 우선 신청/3일차 제한 해제 중국인 유학생 전용 분반/내국인 제한 해제 시각디자인학과 제한 해제 우선 신청/3일차 수강 금지 중국인 유학생 전용 분반/내국인 시각디자인학과 제한 해제 우선 신청/3일차 시각디자인학과 우선 신청/3일차 수강 금지 시각디자인학과 우선 신청/3일차 제한 해제 제한 해제
67,실용음악학과,,,860006,방송댄스1,01 02,2 2,,,김지영,화12:30-1 :30 화1 :30-16:30,음106 - K-POP Hall,실용음악학과 1학년 학생 우선
