이수구분,교과명,분반,학점,담당교수,강의시간
교필,AI시대의컴퓨팅사고,01,2,김선경,화11:30-13:30
교필,AI시대의컴퓨팅사고,02,2,박효진,화11:30-13:30
교필,AI시대의컴퓨팅사고,03,2,김지연,금09:30-11:30
교필,AI시대의컴퓨팅사고,04,2,2침 상오,금09:30-11:30
교필,AI시대의컴퓨팅사고,05,2,김선경,금09:30-11:30
교필,AI시대의컴퓨팅사고,06,2,이윤정,월11:30-13:30
교필,AI시대의컴퓨팅사고,07,2,2침 상오,금11:30-13:30
교필,AI시대의컴퓨팅사고,08,2,김선경,금11:30-13:30
교필,AI시대의컴퓨팅사고,09,2,이윤정,수09:30-11:30
교필,AI시대의컴퓨팅사고,10,2,이윤정,수11:30-13:30
교필,AI시대의컴퓨팅사고,11,2,2침 상오,수11:30-13:30
교필,AI시대의컴퓨팅사고,12,2,김선경,화09:30-11:30
교필,AI시대의컴퓨팅사고,13,2,김지연,화09:30-11:30
교필,AI시대의컴퓨팅사고,14,2,박효진,화09:30-11:30
교필,AI시대의컴퓨팅사고,15,2,김선경,수09:30-11:30
교필,AI시대의컴퓨팅사고,16,2,김지연,수09:30-11:30
교필,AI시대의컴퓨팅사고,17,2,김지연,목09:30-11:30
교필,AI시대의컴퓨팅사고,18,2,김상오,목09:30-11:30
교필,사고와표현,19,2,김선경,"목11:30-13:30,월11:30-13:30"
교필,사고와표현,20,2,김선경,"월09:30-11:30,수11:30-13:30"
교필,사고와표현,21,2,박효지,"월09:30-11:30,월11:30-13:30"
교필,사고와표현,22,2,이윤정,"월09:30-11:30,월11:30-13:30"
교필,사고와표현,23,2,김선경,월11:30-13:30
교필,사고와표현,24,2,박효진,월11:30-13:30
교필,사고와표현,01,2,정연희,수15:30-17:30
교필,사고와표현,02,2,박동근,월09:30-11:30
교필,사고와표현,03,2,박동근,화09:30-11:30
교필,사고와표현,04,2,김도환,월09:30-11:30
교필,사고와표현,05,2,김도환,수09:30-11:30
교필,사고와표현,06,2,김연회,수09:30-11:30
교필,사고와표현,07,2,박동근,목09:30-11:30
교필,사고와표현,08,2,김도화,수11:30-13:30
